LAT,LON,M2,USD,NEIGHBORHOOD,COMMUNE,YEAR
-58.37438748563079,-34.62076174241159,2600.0,1400000.0,SAN TELMO,1,2014
-58.37126866256568,-34.6230533287458,957.0,1500000.0,SAN TELMO,1,2014
-58.37446686876758,-34.61964234912261,800.0,1600000.0,SAN TELMO,1,2014
-58.371763169559,-34.61848958120226,600.0,1800000.0,SAN TELMO,1,2014
-58.372773138640184,-34.621753887150405,360.0,2000000.0,SAN TELMO,1,2014
-58.374326722609155,-34.6219366379226,1350.0,3000000.0,SAN TELMO,1,2014
-58.374142602163325,-34.621807367315995,1350.0,3600000.0,SAN TELMO,1,2014
-58.3942336246589,-34.599658540244434,113.0,680000.0,RECOLETA,2,2014
-58.3942336246589,-34.599658540244434,700.0,750000.0,RECOLETA,2,2014
-58.41019277081826,-34.59681372894429,147.0,790000.0,RECOLETA,2,2014
-58.406616546274606,-34.59526226899399,275.0,820000.0,RECOLETA,2,2014
-58.40413838818525,-34.59121505505137,149.0,850000.0,RECOLETA,2,2014
-58.40334405176917,-34.59741208149418,240.0,850000.0,RECOLETA,2,2014
-58.387075456673365,-34.596918674773704,228.0,1000000.0,RECOLETA,2,2014
-58.387075456673365,-34.596918674773704,240.0,1000000.0,RECOLETA,2,2014
-58.408112932941826,-34.5979331876793,357.0,1200000.0,RECOLETA,2,2014
-58.408112932941826,-34.5979331876793,1422.0,1200000.0,RECOLETA,2,2014
-58.39902146628954,-34.59698416277703,1100.0,1290000.0,RECOLETA,2,2014
-58.39870829086536,-34.59707361386764,180.0,1290000.0,RECOLETA,2,2014
-58.41027347891125,-34.59795739638829,227.0,1300000.0,RECOLETA,2,2014
-58.390112536616634,-34.59426647383681,363.0,2200000.0,RECOLETA,2,2014
-58.40790015496285,-34.59248172452681,968.0,3200000.0,RECOLETA,2,2014
-58.39797550144056,-34.61537949262662,82.0,129000.0,BALVANERA,3,2014
-58.40598398953008,-34.616098844648185,100.0,155000.0,BALVANERA,3,2014
-58.39626042631463,-34.61598592491789,245.0,160000.0,BALVANERA,3,2014
-58.39626042631463,-34.61598592491789,71.0,160000.0,BALVANERA,3,2014
-58.41113579192264,-34.60194639632584,80.0,190000.0,BALVANERA,3,2014
-58.39610799530056,-34.615861457462934,225.0,210000.0,BALVANERA,3,2014
-58.40114511764894,-34.61865752061088,537.0,220000.0,BALVANERA,3,2014
-58.40114511764894,-34.61865752061088,155.0,220000.0,BALVANERA,3,2014
-58.3976001292873,-34.61185245960805,337.0,220000.0,BALVANERA,3,2014
-58.3976001292873,-34.61185245960805,135.0,220000.0,BALVANERA,3,2014
-58.40710775083382,-34.61634413835904,1000.0,225000.0,BALVANERA,3,2014
-58.40710775083382,-34.61634413835904,234.0,225000.0,BALVANERA,3,2014
-58.41252560593618,-34.60147807993906,213.0,230000.0,BALVANERA,3,2014
-58.408058897481496,-34.61814598095577,324.0,235000.0,BALVANERA,3,2014
-58.408058897481496,-34.61814598095577,230.0,235000.0,BALVANERA,3,2014
-58.40789374715296,-34.61888444109064,268.0,250000.0,BALVANERA,3,2014
-58.40789374715296,-34.61888444109064,182.0,250000.0,BALVANERA,3,2014
-58.41131611573392,-34.61532885770661,301.0,264000.0,BALVANERA,3,2014
-58.4102198570659,-34.609186425879095,380.0,300000.0,BALVANERA,3,2014
-58.4054430627796,-34.61343068432884,632.0,300000.0,BALVANERA,3,2014
-58.4054430627796,-34.61343068432884,158.0,300000.0,BALVANERA,3,2014
-58.396097042893935,-34.61511870658628,385.0,300000.0,BALVANERA,3,2014
-58.412702757365025,-34.60750853774613,797.0,315000.0,BALVANERA,3,2014
-58.39905095531357,-34.617582833969216,242.0,320000.0,BALVANERA,3,2014
-58.39905095531357,-34.617582833969216,605.0,320000.0,BALVANERA,3,2014
-58.41120416465159,-34.6066078235752,191.0,350000.0,BALVANERA,3,2014
-58.40525548475982,-34.613288427131536,492.0,350000.0,BALVANERA,3,2014
-58.41283909695129,-34.61397959569178,466.0,350000.0,BALVANERA,3,2014
-58.402848278917865,-34.61676506288513,1360.0,350000.0,BALVANERA,3,2014
-58.402848278917865,-34.61676506288513,274.0,350000.0,BALVANERA,3,2014
-58.397789691268684,-34.61730850684724,240.0,360000.0,BALVANERA,3,2014
-58.394777215026274,-34.60818216084619,220.0,370000.0,BALVANERA,3,2014
-58.39763807133657,-34.61746389340303,900.0,370000.0,BALVANERA,3,2014
-58.39763807133657,-34.61746389340303,312.0,370000.0,BALVANERA,3,2014
-58.412208126333844,-34.60011860438739,200.0,370000.0,BALVANERA,3,2014
-58.40368568345766,-34.618832792047435,210.0,380000.0,BALVANERA,3,2014
-58.39369427222914,-34.60445482898546,300.0,385000.0,BALVANERA,3,2014
-58.396097042893935,-34.61511870658628,414.0,385000.0,BALVANERA,3,2014
-58.410351197417114,-34.60902143955512,357.0,425000.0,BALVANERA,3,2014
-58.397900760579034,-34.616155502445075,363.0,425000.0,BALVANERA,3,2014
-58.41211798833257,-34.60026761537937,824.0,430000.0,BALVANERA,3,2014
-58.41211798833257,-34.60026761537937,103.0,430000.0,BALVANERA,3,2014
-58.39642888460799,-34.60593864025553,134.0,450000.0,BALVANERA,3,2014
-58.40145138136654,-34.61313141225753,492.0,465116.0,BALVANERA,3,2014
-58.405681400375826,-34.605439320109184,249.0,470000.0,BALVANERA,3,2014
-58.40171455729513,-34.61216867435886,364.0,480000.0,BALVANERA,3,2014
-58.411473751862744,-34.61289957816973,387.0,480000.0,BALVANERA,3,2014
-58.412817415198994,-34.60328272696744,800.0,515000.0,BALVANERA,3,2014
-58.412817415198994,-34.60328272696744,210.0,515000.0,BALVANERA,3,2014
-58.40321735053782,-34.6121481164897,582.0,590000.0,BALVANERA,3,2014
-58.41159048236097,-34.60414020306129,1080.0,600000.0,BALVANERA,3,2014
-58.41159048236097,-34.60414020306129,269.0,600000.0,BALVANERA,3,2014
-58.41147194646592,-34.60288102948236,247.0,600000.0,BALVANERA,3,2014
-58.41147194646592,-34.60288102948236,986.0,600000.0,BALVANERA,3,2014
-58.41096933814949,-34.61649203768086,1296.0,620000.0,BALVANERA,3,2014
-58.41096933814949,-34.61649203768086,442.0,620000.0,BALVANERA,3,2014
-58.4087189336034,-34.60351345448656,900.0,635000.0,BALVANERA,3,2014
-58.41308050460099,-34.61050092653531,1100.0,650000.0,BALVANERA,3,2014
